nm	    Data
490.6	6.833
490.8	6.833
491.0	6.815
491.2	6.790
491.4	6.774
491.6	6.756
491.8	6.746
492.0	6.739
492.2	6.732
492.4	6.718
492.6	6.713
492.8	6.715
493.0	6.703
493.2	6.704
493.4	6.699
493.6	6.693
493.8	6.676
494.0	6.668
494.2	6.647
494.4	6.646
494.6	6.644
494.8	6.640
495.0	6.627
495.2	6.623
495.4	6.610
495.6	6.613
495.8	6.615
496.0	6.611
496.2	6.602
496.4	6.596
496.6	6.595
496.8	6.588
497.0	6.585
497.2	6.586
497.4	6.581
497.6	6.579
497.8	6.566
498.0	6.564
498.2	6.557
498.4	6.546
498.6	6.539
498.8	6.531
499.0	6.528
499.2	6.523
499.4	6.510
499.6	6.501
499.8	6.502
500.0	6.510
500.2	6.507
500.4	6.492
500.6	6.481
500.8	6.471
501.0	6.458
501.2	6.447
501.4	6.427
501.6	6.422
501.8	6.404
502.0	6.401
502.2	6.392
502.4	6.381
502.6	6.373
502.8	6.368
503.0	6.361
503.2	6.361
503.4	6.352
503.6	6.341
503.8	6.333
504.0	6.339
504.2	6.328
504.4	6.330
504.6	6.325
504.8	6.316
505.0	6.301
505.2	6.295
505.4	6.292
505.6	6.284
505.8	6.281
506.0	6.267
506.2	6.265
506.4	6.272
506.6	6.264
506.8	6.251
507.0	6.237
507.2	6.236
507.4	6.229
507.6	6.225
507.8	6.220
508.0	6.210
508.2	6.209
508.4	6.209
508.6	6.204
508.8	6.197
509.0	6.185
509.2	6.178
509.4	6.163
509.6	6.153
509.8	6.133
510.0	6.121
510.2	6.102
510.4	6.089
510.6	6.073
510.8	6.062
511.0	6.060
511.2	6.042
511.4	6.038
511.6	6.014
511.8	5.999
512.0	5.974
512.2	5.957
512.4	5.936
512.6	5.919
512.8	5.896
513.0	5.873
513.2	5.857
513.4	5.826
513.6	5.807
513.8	5.782
514.0	5.751
514.2	5.727
514.4	5.706
514.6	5.678
514.8	5.657
515.0	5.623
515.2	5.593
515.4	5.565
515.6	5.541
515.8	5.507
516.0	5.488
516.2	5.468
516.4	5.455
516.6	5.433
516.8	5.405
517.0	5.388
517.2	5.369
517.4	5.337
517.6	5.320
517.8	5.307
518.0	5.280
518.2	5.259
518.4	5.239
518.6	5.226
518.8	5.208
519.0	5.199
519.2	5.176
519.4	5.168
519.6	5.153
519.8	5.135
520.0	5.120
520.2	5.117
520.4	5.112
520.6	5.096
520.8	5.082
521.0	5.079
521.2	5.061
521.4	5.059
521.6	5.052
521.8	5.031
522.0	5.028
522.2	5.022
522.4	5.019
522.6	5.031
522.8	5.032
523.0	5.019
523.2	5.008
523.4	5.005
523.6	5.002
523.8	5.010
524.0	5.007
524.2	5.010
524.4	5.010
524.6	5.016
524.8	5.029
525.0	5.042
525.2	5.050
525.4	5.053
525.6	5.064
525.8	5.084
526.0	5.090
526.2	5.096
526.4	5.111
526.6	5.127
526.8	5.150
527.0	5.173
527.2	5.195
527.4	5.224
527.6	5.253
527.8	5.279
528.0	5.310
528.2	5.344
528.4	5.365
528.6	5.388
528.8	5.397
529.0	5.426
529.2	5.449
529.4	5.470
529.6	5.489
529.8	5.499
530.0	5.510
530.2	5.527
530.4	5.533
530.6	5.541
530.8	5.555
531.0	5.557
531.2	5.572
531.4	5.575
531.6	5.592
531.8	5.588
532.0	5.580
532.2	5.570
532.4	5.555
532.6	5.546
532.8	5.527
533.0	5.507
533.2	5.486
533.4	5.467
533.6	5.451
533.8	5.433
534.0	5.421
534.2	5.405
534.4	5.390
534.6	5.371
534.8	5.352
535.0	5.342
535.2	5.316
535.4	5.301
535.6	5.288
535.8	5.267
536.0	5.240
536.2	5.217
536.4	5.206
536.6	5.196
536.8	5.181
537.0	5.162
