Angle,PSD
47.7964,230
47.8106,221
47.8247,214
47.8389,208
47.8531,200
47.8673,236
47.8814,221
47.8956,242
47.9098,244
47.924,255
47.9381,242
47.9523,232
47.9665,251
47.9807,261
47.9948,282
48.009,245
48.0232,250
48.0374,249
48.0515,250
48.0657,242
48.0799,246
48.0941,243
48.1082,223
48.1224,248
48.1366,204
48.1508,231
48.1649,205
48.1791,220
48.1933,225
48.2075,222
48.2216,195
48.2358,198
48.25,223
48.2642,238
48.2783,200
48.2925,207
48.3067,201
48.3209,215
48.335,208
48.3492,203
48.3634,200
48.3776,213
48.3917,211
48.4059,230
48.4201,201
48.4343,222
48.4484,223
48.4626,233
48.4768,221
48.491,249
48.5051,249
48.5193,226
48.5335,219
48.5477,191
48.5618,202
48.576,217
48.5902,211
48.6044,243
48.6185,204
48.6327,214
